,0,1
280_90_-6_0,-0.003353436674779347,-0.0055826075319886335
280_100_-5_0,-0.003516133421535171,-0.003600265462764524
280_100_-4_0,-0.0036685941828646608,-0.004687401681363664
280_110_-3_0,-0.004867526576186281,-0.005788137347775578
280_110_-2_0,-0.0063532640302458275,-0.011751412197152932
280_110_-1_0,-0.008152090837758849,-0.007519321929860516
280_110_0_0,-0.008532171287112464,-0.014062979890131173
280_110_1_0,-0.007928970781235807,-0.013733223216582009
280_110_2_0,-0.005976467846271733,-0.013379845205092677
280_100_3_0,-0.009278124701436035,-0.009799134598349836
210_100_4_0,-0.029478083375117196,-0.039910619824361886
210_90_5_0,-0.012012280532110892,-0.015915986443157167
210_90_6_0,-0.011922886709368617,-0.01357287063741483
210_80_7_0,-0.0223486316348638,-0.01917234764028813
210_70_8_0,-0.024342598155428545,-0.048173285416383174
210_60_9_0,-0.022944822749995528,-0.03664635199516781
210_50_10_0,-0.014697883142910439,-0.010742846090603064
210_40_10_0,-0.007545824484506996,-0.031661358013397284
210_30_10_0,-0.015898761958899693,-0.012388173653002505
140_-60_10_0,-689.8900000000085,-28.849494226677272
280_50_-9_0,-0.0036514541198979893,-0.0031623959781836193
280_60_-8_0,-0.0016208143973818817,-0.0043071520482873965
280_60_-7_0,-0.0024239586847714122,-0.0023659016355932084
280_70_-6_0,-0.0012253192222211379,-0.002429387396646881
280_80_-4_0,-0.001008136429092783,-0.0013432225818634234
280_80_-3_0,-0.0010023067927952183,-0.0012817023323938672
280_80_-2_0,-0.0006845466524343928,-0.0009702829843621382
280_80_1_0,-0.0015446215088772421,-0.004713090090253805
280_80_2_0,-0.002409598782516608,-0.005327007024152658
280_80_3_0,-0.0031319410513243307,-0.003174492868715158
210_70_5_0,-0.003652718244350857,-0.004780848570799535
210_60_6_0,-0.0038316279921948226,-0.005152678662713259
210_60_7_0,-0.0059882714605104395,-0.006696651169817649
210_50_8_0,-0.00948988088823887,-0.010508817127103696
210_40_9_0,-0.006214365225063827,-0.005970139202980056
210_-50_-9_0,-0.0004936403772152911,-0.00048272819266205436
210_-40_-8_0,-0.0007876189674999358,-0.0012898048653143266
140_-40_-7_0,-0.0001826473582092451,-0.0005847062229256362
140_-30_-6_0,-0.000835547528345294,-0.014905721302062276
140_-30_-5_0,-0.00029429996961901175,-0.0004762486205707755
140_-20_-4_0,-0.0009386188303416833,-0.0011289481367196986
140_-20_-3_0,-0.0002127533367931968,-0.0042834785431458775
140_-20_-2_0,-0.0003764079344083845,-0.0013485067861968504
140_-20_-1_0,-0.0005868830645718397,-0.0014646434861869066
140_-20_0_0,-0.00020640665388672739,-0.00044584155563060597
140_-20_1_0,-0.0005274544060949477,-0.0011052832469599957
140_-20_2_0,-1.288440994338668e-06,-3.0802765114502463e-06
140_-20_3_0,-0.00011240368730346039,-0.0012322781282402392
140_-30_4_0,-1.20420911627899e-05,-0.0008439115675898592
140_-30_5_0,-7.103064430139264e-06,-0.0002678000672460625
140_-40_6_0,-0.0001342071048789143,-0.0012838124706258415
